E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
9.246257116405772e17	3.8560363675021925e-11	0.0	7.358487281534e-11	3.8560363675021925e-11
9.353431520292376e17	3.9677672760685637e-11	0.0	7.358487281534e-11	3.9677672760685637e-11
9.461848194722031e17	4.081415896996004e-11	0.0	7.358487281534e-11	4.081415896996004e-11
9.571521538991855e17	4.1969767869877465e-11	0.0	7.358487281534e-11	4.1969767869877465e-11
9.682466119303154e17	4.314443497293868e-11	0.0	7.358487281534e-11	4.314443497293868e-11
9.794696670695386e17	4.4338085764955064e-11	0.0	7.358487281534e-11	4.4338085764955064e-11
9.908228099003828e17	4.5550635766719344e-11	0.0	7.358487281534e-11	4.5550635766719344e-11
1.0023075482838643e18	4.678199051197128e-11	0.0	7.358487281534e-11	4.678199051197128e-11
1.0139254075588184e18	4.803204568104824e-11	0.0	7.358487281534e-11	4.803204568104824e-11
1.0256779307444209e18	4.930068708499044e-11	0.0	7.358487281534e-11	4.930068708499044e-11
1.0375666787451891e18	5.05877908164812e-11	0.0	7.358487281534e-11	5.05877908164812e-11
1.0495932305582266e18	5.189322327615613e-11	0.0	7.358487281534e-11	5.189322327615613e-11
1.0617591834830034e18	5.32168412571321e-11	0.0	7.358487281534e-11	5.32168412571321e-11
1.0740661533334323e18	5.455849052012769e-11	0.0	7.358487281534e-11	5.455849052012769e-11
1.0865157746525417e18	5.591801338217219e-11	0.0	7.358487281534e-11	5.591801338217219e-11
1.0991097009294962e18	5.7295232297125246e-11	0.0	7.358487281534e-11	5.7295232297125246e-11
1.1118496048192744e18	5.868997168479108e-11	0.0	7.358487281534e-11	5.868997168479108e-11
1.1247371783647508e18	6.010204035620983e-11	0.0	7.358487281534e-11	6.010204035620983e-11
1.1377741332214949e18	6.153124145210248e-11	0.0	7.358487281534e-11	6.153124145210248e-11
1.1509622008850312e18	6.297736495046613e-11	0.0	7.358487281534e-11	6.297736495046613e-11
1.1643031329208804e18	6.444019636747571e-11	0.0	7.358487281534e-11	6.444019636747571e-11
1.177798701197118e18	6.591951140381816e-11	0.0	7.358487281534e-11	6.591951140381816e-11
1.1914506981197796e18	6.74150749763612e-11	0.0	7.358487281534e-11	6.74150749763612e-11
1.2052609368708413e18	6.892665090980651e-11	0.0	7.358487281534e-11	6.892665090980651e-11
1.2192312516491144e18	7.045398844996406e-11	0.0	7.358487281534e-11	7.045398844996406e-11
1.2333634979137746e18	7.19968331428605e-11	0.0	7.358487281534e-11	7.19968331428605e-11
1.2476595526308736e18	7.355491726679574e-11	0.0	7.358487281534e-11	7.355491726679574e-11
1.2621213145225462e18	7.512797101225245e-11	0.0	7.358487281534e-11	7.512797101225245e-11
1.2767507043192696e18	7.671571557760283e-11	0.0	7.358487281534e-11	7.671571557760283e-11
1.2915496650148828e18	7.831786288503851e-11	0.0	7.358487281534e-11	7.831786288503851e-11
1.3065201621247252e18	7.993412431896258e-11	0.0	7.358487281534e-11	7.993412431896258e-11
1.3216641839466038e18	8.156419863109621e-11	0.0	7.358487281534e-11	8.156419863109621e-11
1.3369837418249508e18	8.320777995410328e-11	0.0	7.358487281534e-11	8.320777995410328e-11
1.352480870417874e18	8.486455836886055e-11	0.0	7.358487281534e-11	8.486455836886055e-11
1.3681576279674762e18	8.653421168029725e-11	0.0	7.358487281534e-11	8.653421168029725e-11
1.3840160965731302e18	8.821641768032589e-11	0.0	7.358487281534e-11	8.821641768032589e-11
1.400058382468102e18	8.991084664795106e-11	0.0	7.358487281534e-11	8.991084664795106e-11
1.4162866162991974e18	9.16171633543615e-11	0.0	7.358487281534e-11	9.16171633543615e-11
1.4327029534098353e18	9.333502483568073e-11	0.0	7.358487281534e-11	9.333502483568073e-11
1.4493095741262152e18	9.506409023767766e-11	0.0	7.358487281534e-11	9.506409023767766e-11
1.466108684046989e18	9.680400710214536e-11	0.0	7.358487281534e-11	9.680400710214536e-11
1.483102514336103e18	9.85544203870434e-11	0.0	7.358487281534e-11	9.85544203870434e-11
1.5002933220192228e18	1.0031497066922861e-10	0.0	7.358487281534e-11	1.0031497066922861e-10
1.5176833902834038e18	1.0208529702475932e-10	0.0	7.358487281534e-11	1.0208529702475932e-10
1.5352750287804275e18	1.0386502682147286e-10	0.0	7.358487281534e-11	1.0386502682147286e-10
1.5530705739334584e18	1.0565379084676978e-10	0.0	7.358487281534e-11	1.0565379084676978e-10
1.5710723892474552e18	1.0745121406352293e-10	0.0	7.358487281534e-11	1.0745121406352293e-10
1.5892828656229763e18	1.0925691784688972e-10	0.0	7.358487281534e-11	1.0925691784688972e-10
1.6077044216738286e18	1.1107051776135413e-10	0.0	7.358487281534e-11	1.1107051776135413e-10
1.6263395040481905e18	1.1289163405676195e-10	0.0	7.358487281534e-11	1.1289163405676195e-10
1.6451905877536676e18	1.1471987670708902e-10	0.0	7.358487281534e-11	1.1471987670708902e-10
1.6642601764859018e18	1.165548554265812e-10	0.0	7.358487281534e-11	1.165548554265812e-10
1.6835508029612076e18	1.1839617748055247e-10	0.0	7.358487281534e-11	1.1839617748055247e-10
1.7030650292528425e18	1.2024344782014091e-10	0.0	7.358487281534e-11	1.2024344782014091e-10
1.7228054471313992e18	1.2209627229494566e-10	0.0	7.358487281534e-11	1.2209627229494566e-10
1.7427746784089172e18	1.2395424633962545e-10	0.0	7.358487281534e-11	1.2395424633962545e-10
1.762975375287211e18	1.258169718001219e-10	0.0	7.358487281534e-11	1.258169718001219e-10
1.7834102207100063e18	1.2768404640378689e-10	0.0	7.358487281534e-11	1.2768404640378689e-10
1.8040819287193884e18	1.2955506640468935e-10	0.0	7.358487281534e-11	1.2955506640468935e-10
1.8249932448161505e18	1.3142962697719492e-10	0.0	7.358487281534e-11	1.3142962697719492e-10
1.8461469463245532e18	1.333073191472414e-10	0.0	7.358487281534e-11	1.333073191472414e-10
1.8675458427610742e18	1.3518774178621965e-10	0.0	7.358487281534e-11	1.3518774178621965e-10
1.889192776207672e18	1.3707048471730489e-10	0.0	7.358487281534e-11	1.3707048471730489e-10
1.9110906216891359e18	1.3895513990431357e-10	0.0	7.358487281534e-11	1.3895513990431357e-10
1.9332422875550513e18	1.4084129898335602e-10	0.0	7.358487281534e-11	1.4084129898335602e-10
1.9556507158659471e18	1.4272855334639855e-10	0.0	7.358487281534e-11	1.4272855334639855e-10
1.9783188827841702e18	1.4461649433430636e-10	0.0	7.358487281534e-11	1.4461649433430636e-10
2.001249798969035e18	1.465047166095029e-10	0.0	7.358487281534e-11	1.465047166095029e-10
