E	beta_pair_E	beta_pion_E	beta_rsh_E	beta_total_E
3.3614490001087754e18	1.1024611191111078e-10	0	7.665e-11	1.8689611191111078e-10
3.4004119327037025e18	1.115752820823075e-10	0	7.665e-11	1.882252820823075e-10
3.439826489022935e18	1.1290630956935017e-10	0	7.665e-11	1.8955630956935017e-10
3.479697903887688e18	1.142389947045204e-10	0	7.665e-11	1.908889947045204e-10
3.52003147279669e18	1.155731379792026e-10	0	7.665e-11	1.9222313797920258e-10
3.560832552629274e18	1.16908540137659e-10	0	7.665e-11	1.93558540137659e-10
3.602106562357081e18	1.1824500227000354e-10	0	7.665e-11	1.9489500227000356e-10
3.6438589837635405e18	1.1958232590419783e-10	0	7.665e-11	1.9623232590419782e-10
3.686095362172169e18	1.2092031309695624e-10	0	7.665e-11	1.9757031309695626e-10
3.72882130718283e18	1.2225876652338486e-10	0	7.665e-11	1.9890876652338485e-10
3.772042493417009e18	1.2359748956524315e-10	0	7.665e-11	2.0024748956524317e-10
3.815764661271245e18	1.2493628639766007e-10	0	7.665e-11	2.0158628639766006e-10
3.859993617679779e18	1.262749620741974e-10	0	7.665e-11	2.029249620741974e-10
3.9047352368855557e18	1.276133226100996e-10	0	7.665e-11	2.042633226100996e-10
3.949995461220655e18	1.289511750636317e-10	0	7.665e-11	2.056011750636317e-10
3.9957803018952653e18	1.3028832761535451e-10	0	7.665e-11	2.0693832761535453e-10
4.042095839796318e18	1.3162458895316693e-10	0	7.665e-11	2.0827458895316692e-10
4.088948226294856e18	1.3295977108870217e-10	0	7.665e-11	2.0960977108870216e-10
4.1363436840632863e18	1.3429368535716827e-10	0	7.665e-11	2.109436853571683e-10
4.184288507901576e18	1.3562614517623483e-10	0	7.665e-11	2.1227614517623482e-10
4.232789065573562e18	1.3695696544769391e-10	0	7.665e-11	2.136069654476939e-10
4.281851798652407e18	1.382859626222233e-10	0	7.665e-11	2.1493596262222332e-10
