E	Eg
1.3744790926775394e19	3.409228477678983e138
1.3872097805416182e19	6.11580841981307e138
1.4000583824681017e19	1.096024867171371e139
1.4130259905995336e19	1.961594469334183e139
1.4261137071941239e19	3.508882560153672e139
1.4393226447194094e19	6.266763090591968e139
1.4526539259467782e19	1.1188271265642724e140
1.466108684046989e19	1.9945552183944642e140
1.4796880626863964e19	3.5537304960300135e140
1.4933932161242472e19	6.324307352340241e140
1.5072253093107587e19	1.1243837271377456e141
1.5211855179861017e19	1.997679471412162e141
1.5352750287804275e19	3.5444992330221005e141
1.5494950393146317e19	6.286851159376118e141
1.5638467583022414e19	1.113530031213775e142
1.5783314056521198e19	1.971521388943855e142
1.5929502125721197e19	3.4862655717652526e142
1.6077044216738286e19	6.160349753960466e142
1.622595287078087e19	1.0877140847702262e143
1.6376240745216823e19	1.918414845357885e143
1.6527920614648973e19	3.3822508255005153e143
1.6681005372000557e19	5.955425170475292e143
1.6835508029612075e19	1.0482150991571702e144
1.699144172034626e19	1.842861586417005e144
1.7148819698705338e19	3.2383949167351576e144
1.7307655341957276e19	5.685601583768775e144
1.7467962151272421e19	9.972912957035668e144
1.7629753752872112e19	1.748614735868614e145
1.7793043899185773e19	3.0624280129845806e145
1.7957846470020895e19	5.36155304729086e145
1.8124175473742395e19	9.376541108232453e145
1.8292045048462901e19	1.6392266686076158e146
1.8461469463245533e19	2.863172486657139e146
1.86324631193156e19	4.997048644068694e146
1.8805040551285756e19	8.71783986481863e146
1.8979216428391035e19	1.5193303597175132e147
1.915500555573524e19	2.6470731854745158e147
1.933242287555051e19	4.607579899953935e147
1.9511483468466164e19	8.016528786693656e147
1.9692202554791653e19	1.3936850020662917e148
1.987459549580986e19	2.4212537527948495e148
2.0058677795082297e19	4.2049355421320934e148
2.02444650997681e19	7.295656679533413e148
2.0431973201952707e19	1.2655405043130234e149
2.062121803999136e19	2.193184134538474e149
2.0812215699863413e19	3.799453863420544e149
2.100498241653911e19	6.577465735449e149
2.1199534575360774e19	1.1379372595487103e150
2.1395888713434214e19	1.9680835559991796e150
2.1594061521035588e19	3.400813155554956e150
2.179406984302958e19	5.875769369869702e150
2.1995930680300704e19	1.0142065712200424e151
2.2199661191199617e19	1.750115379613925e151
2.240527869300018e19	3.018069562010746e151
2.26128006633727e19	5.2014749990243406e151
2.2822244741869007e19	8.962202023976551e151
2.3033628731421266e19	1.5428926692583455e152
2.324697059985655e19	2.655909886796045e152
2.3462288481422623e19	4.5676968856344745e152
2.367960067833069e19	7.853485627966327e152
